keyword,title,abstract,publication_date,first_author_display_name,last_author_display_name,institution_display_name,institution_country_code,relevant,justification,year
manufacturing,Overnight Corneal Reshaping versus Soft Disposable Contact Lenses: Vision-Related Quality-of-Life Differences From a Randomized Clinical Trial,"Purpose. The purpose of this article is to evaluate patients' visual acuity, symptoms, and perceptions of vision-related quality of life in a randomized crossover clinical trial of overnight corneal reshaping (OCR) and daily wear soft lenses (SCL). Methods. Qualified subjects were randomly assigned to wear one mode of contact lens for 8 weeks and then, after a washout period, they wore the alternate mode for 8 weeks. On concluding each contact lens wear mode, subjects completed the NEI-RQL42 questionnaire. During the SCL mode, subjects wore lenses during their waking hours. During the OCR mode, subjects wore lenses only while sleeping. Soft lenses were Biomedics 55 2-week disposable lenses. OCR lenses were CRT lenses by Paragon. (Three subjects were fit with custom-designed OCR lenses in Boston XO material, manufactured by Art Optical.) LogMAR acuity was measured and slit lamp evaluation was performed at specified intervals during follow up. After completing both phases of the study, patients chose which mode they preferred. Results. Of 81 enrolled patients, 65 completed both phases and 16 dropped out during the study. Significant differences (p < 0.01) favoring SCL wear included better visual acuity and less trouble with glare. Significant differences (p < 0.01) favoring OCR wear included less activity limitations, less trouble with symptoms, and less dependence on refractive correction. Of 65 completing both phases, 44 preferred the OCR lenses and 21 preferred the soft lenses. Subjects who preferred the OCR lenses were less myopic and had steeper K readings at baseline, and showed less difference between visual acuity during OCR wear and visual acuity with SCL. Conclusion. In subjects with mild myopia who experienced both SCL and OCR, better visual acuity and less glare resulted from SCL wear, whereas activity limitations, symptoms, and dependence on refractive correction were less troublesome with OCR wear. When the study was completed, 67.7% chose OCR lenses worn only while sleeping, whereas 32.3% preferred 2-week disposable soft lenses worn during the day as their preferred correction.",2005-10-01,Michael Lipson,Alan Sugar,University of Michigan,US,yes,"Yes, the paper is relevant. It compares the effects of soft contact lenses and overnight corneal reshaping on visual acuity and quality of life, which directly aligns with the company's focus on soft contact lens research and evaluation.",2005
manufacturing,A Wirelessly Powered Smart Contact Lens with Reconfigurable Wide Range and Tunable Sensitivity Sensor Readout Circuitry,"This study presented a wireless smart contact lens system that was composed of a reconfigurable capacitive sensor interface circuitry and wirelessly powered radio-frequency identification (RFID) addressable system for sensor control and data communication. In order to improve compliance and reduce user discomfort, a capacitive sensor was embedded on a soft contact lens of 200 μm thickness using commercially available bio-compatible lens material and a standard manufacturing process. The results indicated that the reconfigurable sensor interface achieved sensitivity and baseline tuning up to 120 pF while consuming only 110 μW power. The range and sensitivity tuning of the readout circuitry ensured a reliable operation with respect to sensor fabrication variations and independent calibration of the sensor baseline for individuals. The on-chip voltage scaling allowed the further extension of the detection range and prevented the implementation of large on-chip elements. The on-lens system enabled the detection of capacitive variation caused by pressure changes in the range of 2.25 to 30 mmHg and hydration level variation from a distance of 1 cm using incident power from an RFID reader at 26.5 dBm.",2017-01-07,Jin‐Chern Chiou,Shun-Hsi Hsu,National Yang Ming Chiao Tung University,TW,yes,"Yes, the paper is relevant. It discusses a smart contact lens system, which aligns with the company's main topic of soft contact lenses, and includes a focus on manufacturing processes through the use of commercially available bio-compatible materials and standard manufacturing techniques.",2017
manufacturing,Initial in Vivo Tear Protein Deposition on Individual Hydrogel Contact Lenses,"We investigated and compared the initial composition, morphology, and time course of deposits on individual soft contact lenses of different water contents and surface charges in order to evaluate the potential for antigenic reactions and to predict the optimal frequency of lens replacement. Newly manufactured lenses were worn for graduated periods of time from 1 min to 8 h by subjects who were first adapted to daily wear soft lenses. The morphology and composition of the deposits were analyzed by histological staining, light microscopy, scanning electron microscopy (SEM), sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDSPAGE) with silver nitrate staining, and immunofluorescence microscopy. The protein bands of the acrylamide gels were divided according to their molecular weights into six groups which have been defined in the literature from tear analyses by electrophoretic techniques and include lysozyme, proteins migrating faster than albumin (PMFA), protein G, albumin, lactoferrin, and other proteins heavier than albumin such as Ig-G and secretory Ig-A. Specific proteins (lysozyme, PMFA, and protein G) were detected on individual lenses after as little as 1 min of wear. There was an increasing amount of protein deposited as the wearing time increased. Differences in the rates and amounts of deposition were more dependent on lens water content and ionic characteristics than on intersubject differences. Such early significant protein deposition may occur in wearers of disposable lenses as well as in those subject to complications due to accumulation of protein.",1990-07-01,Charles Leahy,Robert B. Mandell,New England College of Optometry,US,yes,"Yes, the paper is relevant. It directly investigates the protein deposition on soft contact lenses, which aligns with the company's focus on soft contact lens manufacturing and associated characteristics. The findings could inform manufacturing processes and lens design to enhance performance and reduce complications.",1990
manufacturing,Surface chemical structure for soft contact lenses as a function of polymer processing,"The surface chemistry and topography of cast-molded Etafilcon-A and doubled-sided lathed Etafilcon-A soft contact lenses were determined to be significantly different. The variations in surface chemical and morphologic structure between the two lenses were the result of contact lens manufacturing methods. The surface of the cast-molded Etafilcon-A had a consistently less rough surface compared to the doubled sided lathed Etafilcon-A as determined by atomic force microscopy. The surface of the doubled sided lathed Etafilcon-A contained primarily silicone and wax contamination in addition to minute amounts of HEMA. The cast-molded Etafilcon-A had an elemental and chemical content which was consistent with the polymer stoichiometry. Contact angle wettability profiles revealed inherent wettability differences between the two lenses types. The cast-molded Etafilcon-A had an inherently greater water wettability, polarity, and critical surface tension. This means that these two lenses cannot be compared as similar or identical lens materials in terms of surface composition. The manufacturing method used to produce a soft contact lens directly determines the surface elemental and chemical structure as well as the morphology of the finished lens material. These results suggest possible differences in the clinical comfort, spoilage, and lubricity felt during patient wear. © 1996 John Wiley & Sons, Inc.",1996-09-01,George L. Grobe,Paul L. Valint,,,yes,"Yes, the paper is relevant. It discusses the impact of manufacturing methods on the surface chemistry and properties of soft contact lenses, specifically Etafilcon-A, which aligns with the company’s research objectives related to manufacturing and mold processes.",1996
manufacturing,Trends in Australian contact lens prescribing during the first decade of the 21st Century (2000–2009),"The aim was to document contact lens prescribing trends in Australia between 2000 and 2009.A survey of contact lens prescribing trends was conducted each year between 2000 and 2009. Australian optometrists were asked to provide information relating to 10 consecutive contact lens fittings between January and March each year.Over the 10-year survey period, 1,462 practitioners returned survey forms representing a total of 13,721 contact lens fittings. The mean age (+/- SD) of lens wearers was 33.2 +/- 13.6 years and 65 per cent were female. Between 2006 and 2009, rigid lens new fittings decreased from 18 to one per cent. Low water content lenses reduced from 11.5 to 3.2 per cent of soft lens fittings between 2000 and 2008. Between 2005 and 2009, toric lenses and multifocal lenses represented 26 and eight per cent, respectively, of all soft lenses fitted. Daily disposable, one- to two-week replacement and monthly replacement lenses accounted for 11.6, 30.0 and 46.5 per cent of all soft lens fittings over the survey period, respectively. The proportion of new soft fittings and refittings prescribed as extended wear has generally declined throughout the past decade. Multi-purpose lens care solutions dominate the market. Rigid lenses and monthly replacement soft lenses are predominantly worn on a full-time basis, whereas daily disposable soft lenses are mainly worn part-time.This survey indicates that technological advances, such as the development of new lens materials, manufacturing methods and lens designs, and the availability of various lens replacement options, have had a significant impact on the contact lens market during the first decade of the 21st Century.",2010-06-23,Nathan Efron,Philip B. Morgan,Queensland University of Technology,AU,yes,"Yes, the paper is relevant. It systematically documents trends in soft contact lens prescribing in Australia, highlighting technological advances and material developments, which align with the company's interest in soft contact lenses and related manufacturing processes.",2010
manufacturing,Impact of manufacturing technology and material composition on the mechanical properties of hydrogel contact lenses,"Abstract Hydrogel materials are not only different as a result of different co‐monomer compositions but also as a result of the manufacturing method used to produce them. Hydrogel contact lenses fabricated by different methods are subjected to markedly different processing steps, which are likely to affect the resultant material network structure of a lens. The mechanical performance of five soft contact lens types was investigated using one conventional technique (tensile test) and three novel techniques (probe, tear and ball milling tests). The five lens groups consisted of three polyhydroxyethyl methacrylate (pHEMA) lenses which were each manufactured by a different technique: lathing, spin‐casting and cast‐moulding, a HEMA/methacrylic acid (HEMA/MAA) cast‐moulded lens and a HEMA/glycerol methacrylate (HEMA/GMA) cast‐moulded lens. Overall, the results show that the best mechanical performance is obtained for the pHEMA lenses, with some differences occurring between the lenses. The HEMA/GMA lens showed the worst performance.",2004-10-19,Carole Maldonado‐Codina,Nathan Efron,,,yes,"Yes, the paper is relevant. It discusses the impact of manufacturing techniques on the mechanical properties of hydrogel contact lenses, which directly aligns with the research objective focused on soft contact lenses and their manufacturing processes.",2004
manufacturing,Influence of Soft Contact Lens Design on Clinical Performance,"A double-masked, randomized study in four parts was conducted to evaluate the effect of varying certain soft contact lens design parameters on clinical performance. The effects of varying back optic zone radius (BOZR) (8.20 to 9.00 mm), back surface design (monocurve, bicurve, aspheric), edge thickness (0.12 to 0.24 mm), and back vertex power (+1.00 to −6.00 D) were investigated using test lenses manufactured in a high water content material. In each part of the study, between 20 and 35 volunteer subjects wore a range of lenses which were assessed after >30 min settling periods. Postblink movement and lens ""tightness"" as assessed by the push-up test were unaffected by the variation in BOZR. Lenses of flatter BOZR centered lower and more temporally than steeper lenses. Lenses of similar back surface sagittal depth, but differing in terms of back surface design, did not center the same; the monocurve lenses decentered more than bicurve or aspheric lenses. Edge thickness had no significant effect on comfort or lens fit. Plus power lenses resulted in more postblink movement than minus lenses of similar power. The results are discussed in relation to the design and fitting of soft contact lenses.",1993-05-01,Graeme P. Young,Brien A. Holden,UNSW Sydney,AU,yes,"Yes, the paper is relevant. It investigates various design parameters of soft contact lenses, which aligns with the company's focus on soft contact lens manufacturing and related topics. The findings could inform design and fitting practices that are beneficial for production processes.",1993
manufacturing,A Comparison of Wavefront Aberrations in Eyes Wearing Different Types of Soft Contact Lenses,"Purpose. The purpose of this study is to investigate the optical quality of eyes wearing different types of soft contact lenses (sCLs) using wavefront aberrometry. Method. A psychophysical aberrometer (WFA1000B; BriteEye, SuZhou, China) was used to measure wavefront aberrations for 56 eyes of 28 subjects under four conditions: 1) without contact lenses (non-CL), 2) with lathe-cut contact lenses (lathe-cut CL; Shuliang, Weicon Optics, Shanghai, China), 3) with cast-molded contact lenses (cast-molded CL; Vistavue, J&J Vision Care, U.S.), and 4) with spun-cast contact lenses (spun-cast CL; Lanfenzhiji, Justcome Optics, Beijing, China). The three types of sCLs were made from different materials and lens design. The root mean square (RMS) values of the wavefront aberrations and individual Zernike aberrations were calculated and compared among the CL-wearing conditions. Results. Astigmatism was not significantly changed by any of the three soft contact lenses when compared with the non-CL condition. However, a significant difference in the RMS values of higher-order aberrations was observed between the lens types (F = 8.29, p < 0.0001). Induced higher-order aberrations were found for both the cast-molded CL and the spun-cast CL conditions. There were significant differences in the aberrations in each of the higher orders between the CL conditions (F = 3.77, p = 0.011 for third order; F = 5.31, p = 0.002 for fourth order; F = 13.86, p < 0.0001 for fifth and higher orders). More higher-order Zernike aberrations such as coma and spherical aberration were induced by cast-molded CLs and/or the spun-cast CLs. Conclusion. Wavefront aberrations in the eyes with soft contact lenses vary from one individual lens type to another. Although the variation in wavefront aberrations could be attributed to the differences in the methods of manufacture, influences from other factors such as the lens material and lens design could not be excluded and deserve further investigation.",2006-10-01,Jiang Hong-jun,Dan Wang,Peking University,CN,yes,"Yes, the paper is relevant. It investigates the optical quality of different types of soft contact lenses through wavefront aberrometry, aligning well with the company's focus on soft contact lens manufacturing and the impact of lens design and materials on performance.",2006
manufacturing,Omafilcon A (Proclear) soft contact lenses in a dry eye population.,"We conducted a 3-month, randomized, comparative cross-over study to evaluate the clinical performance of lenses manufactured from omafilcon A on subjects with signs and symptoms of dry eye. The subjects' own daily wear soft lenses were used as controls.Seventy-six subjects with objective evidence of dry eye, as defined in the NEI/Industry Workshop Report 1995, were fit with either the omafilcon A lenses (Proclear) or new control lenses. Subjects wore the lenses for 6 weeks and then crossed over to bilateral wear of the other lenses for an additional 6 weeks. During each part of the study, we examined subjects at 1 week, 1 month, and 6 weeks. Signs and symptoms of dry eye were evaluated, and on-eye dehydration of the lens was assessed.When the subjects were wearing the omafilcon A lenses, there was a statistically significant improvement in a number of subjective parameters including comfort, dryness, frequency of eye irritation, and frequency of burning. We found significantly less on-eye dehydration of the lens and fluorescein corneal staining with the omafilcon A lenses.This study indicated that the daily wear of omafilcon A lenses provided better comfort, fewer symptoms, less on-eye dehydration, and less fluorescein corneal staining than other soft daily wear contact lenses in subjects with mild to moderate dry eye.",1999-01-01,Michael A. Lemp,Barbara Caffery,Biocompatibles (United Kingdom),GB,yes,"Yes, the paper is relevant. It focuses on the performance of omafilcon A soft contact lenses specifically in a dry eye population, which aligns with the company's interest in soft contact lenses and their manufacturing. The findings could inform decisions related to product development and regulatory analysis in this area.",1999
manufacturing,Quantification of Intramolecular Cyclization in Branched Copolymers by<sup>1</sup>H NMR Spectroscopy,"Statistical copolymerization of a monovinyl with a divinyl monomer leads to macroscopic gels, microgels, or soluble branched copolymers, depending on the precise reaction conditions. This approach is widely used for the manufacture of soft contact lenses and also to prepare various biomedical hydrogels for the separation and purification of proteins, DNA, etc. According to Flory–Stockmayer theory, gelation should occur in such copolymerizations if there is more than 0.50 fully reacted divinyl comonomer per primary chain. However, many experimental studies indicate significant deviations from this classical theory, which are generally believed to be due to wastage of the divinyl comonomer via intramolecular cyclization. Unfortunately, experimental verification of this side reaction has proven elusive for the past seven decades. In the present study, we use a disulfide-based cleavable bifunctional comonomer to undertake the first experimental quantification of the extent of intramolecular cyclization in nonlinear methacrylic copolymers using 1H NMR spectroscopy.",2012-03-13,Julien Rosselgong,Steven P. Armes,University of Sheffield,GB,yes,"Yes, the paper is relevant. It discusses the copolymerization process critical for manufacturing branched copolymers, and it specifically mentions applications in soft contact lenses, which aligns with the company's research objective.",2012
manufacturing,PDMS and its Suitability for Analytical Microfluidic Devices,"Poly(dimethylsiloxane) also known as PDMS is used in a wide range of biomedical applications. These range from implants through catheters to soft contact lenses. Therefore, it is understandable that PDMS has been extensively tested for these purposes. In past years, the microfluidics has moved from predominantly silicon and glass structures towards polymers due to their ease of manufacturing and moderate cost. PDMS has gained a lot of attention in various analytical applications. However, the testing of its suitability for such applications has not been as thorough as in the biomedical applications, perhaps relying on the experiments from that field. Microfluidic PDMS structures are more and more popular in various analytical devices. Such devices consume less reagents and can work with lower sample volumes. On the other hand, the surface-to-sample-volume ratio becomes larger. That increases the influence of material properties on the actual measurement. Some of the challenges include adsorption, diffusion, surface roughness, permeability and elasticity of PDMS, which are discussed in this paper.",2006-08-01,Johana Kuncová-Kallio,Pasi Kallio,Tampere University,FI,yes,"Yes, the paper is relevant as it discusses the properties and applications of PDMS, which is directly applicable to soft contact lenses. Additionally, the focus on manufacturing and analytical microfluidic devices aligns with the company's interests in manufacturing and drug delivery systems related to soft contact lenses.",2006
manufacturing,Noncontact Tonometry through Soft Contact Lenses,"Under some circumstances it is advantageous to measure intraocular pressure (IOP) without removing soft contact lenses. In this study comparisons have been made between IOP measurements [using a noncontact tonometer (NCT)] with and without soft contact lenses on the eye. The influence of lenses of different water content, lens design, lens power, method of manufacture, and lens center thickness was examined. The most important parameter affecting the results was center thickness. It was shown that reliable and valid IOP findings can be obtained using a NCT with soft lenses on the eye when center thickness is less than 0.15 mm. In glaucoma screening readings obtained with lenses thicker than 0.15 mm may be convenient and useful although such results would be achieved with increased sensitivity and concomitant reduced specificity.",1986-12-01,Charles W. McMonnies,,,,yes,"Yes, the paper is relevant. It investigates the impact of soft contact lenses on intraocular pressure measurements, which aligns with the company's focus on soft contact lens manufacturing and their properties. The findings regarding lens thickness are particularly pertinent for enhancing product development in this area.",1986
manufacturing,Contact lens induced keratitis associated with contact lens wear,"To evaluate clinical characteristics, risk factors, management and outcome of contact lens induced keratitis (CLIK) associated with contact lens wear.The study comprised all consecutive patients presenting with contact lens related presumed microbial keratitis during a 12-month period at our department. Detailed demographic data, type of contact lens, duration of lens wear, wearing schedule and lens hygiene were derived from a self-administered questionnaire. Severity of ulcer, corneal scrapings, treatment and final outcome were evaluated.27 patients with CLIK, some of which may have been sterile peripheral infiltrates, due to contact lens wear were detected. In the majority of the cases patients had used disposable soft contact lenses (89%) and most of them had a daily wearing schedule (78%). 51.8% patients cleaned their lenses regularly. 6 (22%) applied no disinfection since their lenses were disposable on removal. In 3 of our cases with CLIK, penetrating keratoplasty had to be performed.Disposable contact lenses seem to have been a predisposing factor for contact lens induced keratitis also when used on a daily wear schedule. Insufficient contact lens care products and/or manufacturing characteristics may be responsible for CLIK, which is also observed in otherwise compliant contact lens users. In 3 of our patients with CLIK keratoplasty became necessary, indicating that contact lens induced keratitis may result in severe corneal complications.",2001-10-01,Irene Dejaco‐Ruhswurm,Ursula Scholz,Medical University of Vienna,AT,yes,"Yes, the paper is relevant. It investigates contact lens induced keratitis associated with soft contact lens wear, addressing risk factors and complications, which aligns with the company's focus on soft contact lenses and the manufacturing aspects related to lens care.",2001
