device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
VISTAKON (LENEFILCON A)SOFT(HYDROPHILIC)CONTACT LENS CLEAR AND VISIBILITY TINTED WITH UV BLOCKER,"VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",2000-02-23,K994318,Substantially Equivalent,SHARON  BRIGGS,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
Innova Vision (inifilcon A) Silicone Hydrogel (Hydrophilic) Daily Wear Soft Contact Lens,Innova Vision Inc.,2024-04-17,K240519,Substantially Equivalent,Celine  Hsu,LPL,TW,2024,"Lenses, Soft Contact, Daily Wear"
EXTREME H20 (HIOXIFILICON A) SOFT CONTACT LENS,BENZ RESEARCH AND DEVELOPMENT CORP.,1999-10-18,K992692,Substantially Equivalent,JOSE A ORS,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
Deseyne (vifilcon C) Daily Disposable Soft (hydrophilic) Contact Lens with UV Blocking for Myopia and Hyperopia; Deseyne (vifilcon C) Daily Disposable Soft (hydrophilic) Contact Lens with UV Blocking for Astigmatism,"Bruno Vision Care, LLC",2024-10-25,K240918,Substantially Equivalent,Eddie  Catalfamo,LPL,US,2024,"Lenses, Soft Contact, Daily Wear"
UNICON (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS WITH UV BLOCKER FOR DAILY WEAR,"UNICON OPTICAL CO., LTD.",2014-10-17,K141917,Substantially Equivalent,MICHAEL  LEE,LPL,TW,2014,"Lenses, Soft Contact, Daily Wear"
OCU-FLEX PEDIATRIC APHAKIC (OCUFILCON B) SPHERICAL SOFT CONTACT LENS FOR DAILY WEAR (LATHE-CUT),"OCU-EASE OPTICAL PRODUCTS, INC.",2002-12-10,K023077,Substantially Equivalent,DEANNA  WERBER,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
VISCO SOFT CONTACT LENS,VISCO VISION INC.,2015-06-22,K141348,Substantially Equivalent,JENNIFER  TING,LPL,TW,2015,"Lenses, Soft Contact, Daily Wear"
HORIZON 59 OASIS (HIOXIFILCON A) DAILY WEAR CONTACT LENSES,"WESTCON CONTACT LENS CO., INC.",2005-02-01,K043540,Substantially Equivalent,CAROL  NOBLE,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES SIH (PETRAFOCON A HEM-LARAFILCON A) HYBRID CONTACT LENS,"Synergeyes, Inc.",2012-04-18,K113586,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2012,"Lens, Contact (Other Material) - Daily"
MULTIVISION METHAFILCON A SOFT (HYDROPILIC) MULTIFOCAL LENS FOR DAILY WEAR,SOFLEX ISRALENS CONTACT LENS LTD.,2002-08-12,K021720,Substantially Equivalent,Kevin  Walls,LPL,IL,2002,"Lenses, Soft Contact, Daily Wear"
"PROMED 38 SOFBLU (POLYMACON) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT LENS (TINTED, LATHE-CUT FORM LENS BLANK)",BIOMED DEVICES CORP.,1997-05-20,K971515,Substantially Equivalent,MARTIN  DALSING,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
ENI-EYE SH SPHERE (EFROFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,SOFLEX LIMITED,2012-12-12,K122213,Substantially Equivalent,Kevin  Walls,LPL,US,2012,"Lenses, Soft Contact, Daily Wear"
SPECIALTY TINT SOFT CONTACT LENS,SPECIALTY TINT,2000-11-21,K003079,Substantially Equivalent,ROBERT  BREECE,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
VISTAKON (NARAFILCON B) CONTACT LENS VISIBILITY TINTED WITH UV BLOCKER,"JOHNSON & JOHNSON VISION CARE, INC.",2010-05-21,K100349,Substantially Equivalent,CATHERINE  DILLON,LPL,US,2010,"Lenses, Soft Contact, Daily Wear"
FREQUENCY 38 (POLYMACON) HYDROPHILIC CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED),"ASPECT VISION CARE, LTD.",1997-05-21,K971049,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
MAINSTER HIGH MAGNIFICATION LASER LENS,"OCULAR INSTRUMENTS, INC.",1991-06-25,K912366,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1991,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
"FLUOROPERM 151-OK, PARAGON HDS 100-OK",PARAGON VISION SCIENCES,2001-02-28,K010109,Unknown,WILLIAM E MEYERS,MUW,US,2001,"Lens, Contact (Orthokeratology)"
Avaira Vitality (fanfilcon A) Soft (Hydrofilic) Contact Lens,"CooperVision, Inc.",2016-07-13,K160803,Substantially Equivalent,Roya  Borazjani,LPL,US,2016,"Lenses, Soft Contact, Daily Wear"
SAUFLON CLARITI (SOMOFILCON A) SOFT (HYDROPHILIC) CONTACT LENS WITH UV BLOCKER,"SAUFLON PHARMACEUTICALS, LTD.",2013-08-05,K130342,Substantially Equivalent,CHRISTOPHER  SMEJKAL,LPL,GB,2013,"Lenses, Soft Contact, Daily Wear"
"CANTOR & SILVER 5X (HIOXIFILCON A) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT LENS (CLEAR & BLUE VISIBILITY TINTED, LAT",CANTOR & SILVER LTD.,1998-06-24,K981779,Substantially Equivalent,MARTIN  DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
SPORTSIGHT GP,PARAGON VISION SCIENCES,2000-05-22,K993586,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
DAILIES (NELFILCON A) ONE-DAY SOFT CONTACT LENS,CIBA VISION CORPORATION,1996-11-27,K963487,Substantially Equivalent,ALICIA M PLESNARSKI,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
"CONTAFLEX 54 (hioxifilcon D) Spherical Soft Contact Lens for Daily Wear, CONTAFLEX 49 (hioxifilcon B) Spherical Soft Contact Lens for Daily Wear,",CONTAMAC LTD,2015-07-10,K150590,Substantially Equivalent,Rob  McGregor,LPL,GB,2015,"Lenses, Soft Contact, Daily Wear"
O-PERM 30,"OPTICAL POLYMER RESEARCH, INC.",2000-11-21,K002703,Substantially Equivalent,WERNER P SCHUMAN,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
"SOFTCHROME TINTS, TRANSPARENT TINTED SOFT CONTACT LENS","SOFTCHROME, INC.",1999-08-27,K991995,Substantially Equivalent,MARTIN  DALSING,MZD,US,1999,"System, In-Office Tinting, Contact Lenses"
VISTAKON (NARAFILCON) A SOFT CONTACT LENS,"JOHNSON & JOHNSON VISION CARE, INC.",2008-03-03,K073485,Substantially Equivalent,ROSALIND B WILLIAMS,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
OCU-FLEX-38 KERATOCONUS (POLYMACON) SOFT CONTACT LENS FOR DAILY WEAR,"OCU-EASE OPTICAL PRODUCTS, INC.",1999-10-04,K992466,Substantially Equivalent,CHARLES R VERMETTE,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
FLEXLENS 55 SOFT (HYDROPHILIC) CONTACT LENS,"FLEXLENS, INC.",1996-04-11,K950294,Substantially Equivalent,DAVID J DOUGHERTY,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
"VOLK DISPOSABLE VITRECTOMY LENSES, MODELS VOLK FLAT SSV D, VOLK AFX SSV D, VOLK 45 PRISM SSV D","VOLK OPTICAL, INC.",2005-03-28,K050623,Substantially Equivalent,RICHARD E LIPPMAN,HJK,US,2005,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
EYEREVE (hioxifilcon D) Soft (hydrophilic) Contact Lens for Daily Wear,"VISION SCIENCE CO.,LTD.",2016-08-26,K161124,Substantially Equivalent,OH  IN-WHAN,LPL,KR,2016,"Lenses, Soft Contact, Daily Wear"
"IO2 SPHER(MANGOFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,IO2 TORIC (MANGOFILCON A) SOFT (HYDROPHILIC)","ALDEN OPTICAL LABS., INC.",2013-12-17,K133079,Substantially Equivalent,KEVIN  RANDALL,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
ENDOVIEW SPPHIRE LENS SET,"AMERICAN MEDICAL DEVICES, INC.",1997-08-06,K971853,Substantially Equivalent,FRANK J TIGHE,HJK,US,1997,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
SDJMASTERVISION (fluoroxyfocon A) Rigid Gas Permeable Contact Lenses,"Tianjin MasterVision Technology Co., Ltd.",2024-10-22,K241398,Substantially Equivalent,Delia  Ke,HQD,CN,2024,"Lens, Contact (Other Material) - Daily"
Eye Secret 38 UV Aspheric (polymacon) and Air Light 38 UV Aspheric (polymacon) Soft (hydrophilic) Contact Lens for Daily Wear,"Yung Sheng Optical Co., Ltd.",2024-12-16,K232839,Substantially Equivalent,Wen-Han  Chen,LPL,TW,2024,"Lenses, Soft Contact, Daily Wear"
"RESOLUTION 5X (SPHERICAL) AND ULTRA GEL 5X (TORIC)(HIOXIFILCON A) SOFT DAILY WEAR CONTACT LENS, (CLEAR & BLUE VISIBILITY",OPTI-CENTRE LABORATORIES,1999-08-26,K992589,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
ACUVUE (ETAFILCON A) CONTACT LENS CLEAR & W/VISIBILITY TINT W/UV BLOCKER,"VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",1996-10-01,K962804,Substantially Equivalent,DENISE E MCEACHERN,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
FLUOROPERM 151 (PAFLUFOCON D) AND PARAGON HDS 100 (PAFLUFOCON D) RIGID GAS PERMEABLE CONTACT LENSES,PARAGON VISION SCIENCES,2006-02-10,K052983,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2006,"Lens, Contact (Other Material) - Daily"
DISCON DAILY (ETAFILCON A) ONE-DAY SOFT (HYDROPHILIC) CONTACT LENS,INNOVA VISION INC.,2006-05-12,K053191,Substantially Equivalent,JENNIFER  REICH,MVN,US,2006,"Lens, Contact, (Disposable)"
"ULTRAVUE/P 2000T, ULTRAVUE/C 2000T (HIOXIFILCON B) SOFT (MULTIFOCAL TORIC) DAILY WEAR CONTACT LENS (CLEAR & BLUE VISIBIL",OPTI-CENTRE LABORATORIES,2001-03-26,K010256,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
"ACUVUE (ETAFILCON A) CONTACT LENS, CLEAR AND WITH VISIBILITY TINT WITH UV BLOCKER, FOR DAILY WEAR","JOHNSON & JOHNSON VISION CARE, INC.",2005-08-12,K051900,Substantially Equivalent,SUSAN  MORRIS,MVN,US,2005,"Lens, Contact, (Disposable)"
"S-42 UV, T-42 UV TORIC AND M-42 UV MULTIFOCAL (HEFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR","OPTICAL CONNECTION, INC.",2004-06-15,K040900,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
NATURELLE DAILY DISPOSABLE (HILAFILCON B) COSMETICALLY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",2011-10-25,K112192,Substantially Equivalent,TRICIA  GARRETT,MVN,US,2011,"Lens, Contact, (Disposable)"
DISCON PLUS (ETAFILCON A) CONTACT LENS VISIBILITY TINT WITH UV BLOCKER,INNOVA VISION INC.,2009-09-03,K083288,Substantially Equivalent,JENNIFER  REICH,LPL,US,2009,"Lenses, Soft Contact, Daily Wear"
HORIZON/WESTHIN 55-G,"WESTCON CONTACT LENS CO., INC.",1996-08-26,K962121,Substantially Equivalent,MARTIN  DALSING,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
BIOFINITY (COMFILCON A) SOFT CONTACT LENS,"COOPERVISION, INC.",2005-12-06,K052560,Substantially Equivalent,JACK P DOUGLAS,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
55 UV (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,"OPTICAL CONNECTION, INC.",2005-08-16,K051095,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
"OxyAqua (olifilcon D) spherical silicone hydrogel soft contact lens, OxyAqua (olifilcon D) multifocal silicone hydrogel soft contact lens, OxyAqua (olifilcon D) toric silicone hydrogel soft contact lens",Visco Vision Inc,2018-04-03,K173958,Substantially Equivalent,Evan  Huang,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
SPECIALITY 56 UV (HEFILCON C) SOFT (HYDROPHILLIC) CONTACT LENS FOR DAILY WEAR; SPECIALITY 56 UV TORIC (HEFILCON C) SOFT,"SPECIALTY ULTRAVISION, INC.",2001-02-21,K003789,Substantially Equivalent,DEBBIE  MCINTIRE,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
CVue ADVANCED (hioxifilcon D) Soft (hydrophilic) Contact Lens,"Unilens Corp., USA",2014-10-30,K142851,Substantially Equivalent,Alan J. Frazer,LPL,US,2014,"Lenses, Soft Contact, Daily Wear"
ACUVUE 2 COLOURS BRAND (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS WITH UV BLOCKER,VISTAKON,2004-02-04,K033969,Substantially Equivalent,ANNETTE M HILLRING,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
BOSTON VII,POLYMER TECHNOLOGY CORP.,1994-06-23,K942365,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
HYDRASOFT (EAST) AND HYDRASOFT TORIC(EAST) (METHAFILCON B) DAILY WEAR SOFT HYDROPHILIC CONTACT LENS,"COOPERVISION, INC.",1996-12-17,K962185,Substantially Equivalent,BERNARD  HALLATT,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
"VISTAKON (GENFILCON A) CONTACT LENS, CLEAR AND WITH VISIBILIITY TINT","VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",1997-01-30,K964612,Substantially Equivalent,SUSAN L WALTON,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
Visco (olifilcon A) soft contact lens,Visco Vision Inc,2016-10-24,K160245,Substantially Equivalent,Evan  Huang,LPL,TW,2016,"Lenses, Soft Contact, Daily Wear"
MODIFICATION TO OPTIMUM GP (OXYGEN PERMEABLE) DAILY WEAR CONTACT LENSES,CONTAMAC LTD.,2006-11-01,K062548,Substantially Equivalent,MARTIN  DALSING,HQD,US,2006,"Lens, Contact (Other Material) - Daily"
FREQUENCY 55 (METHAFILCON A) HYDROPHILIC CONTACT LENS FOR DAILY WEAR,"ASPECT VISION CARE, LTD.",1997-08-26,K973063,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
Neo Cosmo (Polymacon) Soft (Hydrophilic) Contact Lens,"NEO VISION CO., LTD.",2014-10-07,K142275,Substantially Equivalent,Kyung Hwa Kim,LPL,KR,2014,"Lenses, Soft Contact, Daily Wear"
"MIERU (ETAFILCON A) DAILY WEAR CONTACT LENS CLEAR AND VISIBILITY TINT, WITH UV BLOCKER",CLEARLAB PTE LTD.,2003-04-02,K030167,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
LIFESTYLE 4-VUE(TM) (POLYMACON) HYDROPHILIC CONTACT LENS,"PERMEABLE TECHNOLOGIES, INC.",1995-02-07,K950283,Substantially Equivalent,MARK K TYSON,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
"LM-70 (LIDOFILCON A) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR, LATHE-CUT)",LAMDA POLYTECH LTD.,1999-11-02,K991015,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
EYE SECRET 38 UV ASPHERIC (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,"YUNG SHENG OPTICAL CO., LTD.",2013-12-23,K132854,Substantially Equivalent,WEN-HAN  CHEN,LPL,TW,2013,"Lenses, Soft Contact, Daily Wear"
FREQUENCY 55 UV (METHAFILCON A) SOFT (HYDROPHLIC) CONTACT LENS FOR DAILY WEAR,"COOPERVISION, INC.",2002-04-26,K020392,Substantially Equivalent,BONNIE  TSYMBAL,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
Acuity 85 (Oprifocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2017-06-02,K170001,Substantially Equivalent,"James A. Bonafini, Jr.",HQD,US,2017,"Lens, Contact (Other Material) - Daily"
ESSTECH MULTI ASPHERIC (MULTIFOCAL) (HIOXIFILCON B) SOFT (HYDROPHILIC) CONTACT LENS,LES LABORATOIRES BLANCHARD,1998-09-01,K982904,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
"HYDRO2, HS-75","INNOVISION, INC.",2001-07-27,K011914,Substantially Equivalent,DON M WOODFORD,HQD,US,2001,"Lens, Contact (Other Material) - Daily"
SUNSOFT (METHAFILCON A) SOFT (HYDROPHILIC) DAILY WEAR CONTACT LENS,SUNSOFT CORP.,1997-02-20,K964696,Substantially Equivalent,JAMES B WILLIAMS,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
FREQUENCY 55 UV (METHAFILCON A) HYDROPHILIC CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED WITH UV BLOCKER),"ASPECT VISION CARE, LTD.",1999-01-20,K982997,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"ENI-EYE Q TORIC (ACOFILCON) SOFT (HYDROPHILIC) MULTIFOCAL CONTACT LENS FOR DAILY WEAR, ENI-EYE (ACOFILCON) SOFT (HYDROP",SOFLEX CONTACT LENS INDUSTRIES LTD.,2003-06-06,K030842,Substantially Equivalent,Kevin  Walls,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
O-PERM 30 A RIGID GAS PERMEABLE CONTACT LENS,"OPTICAL POLYMER RESEARCH, INC.",1996-03-19,K954124,Substantially Equivalent,WALLY  STIRLING,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
MENICON SF-P,MENICON CO. LTD.,2000-05-19,K000233,Substantially Equivalent,BEVERLEY D VENUTI,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
"55 SV,  MULTIFOCAL AND TORIC (OCUFILCON C) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR","UNITED CONTACT LENS, INC.",2005-07-01,K051184,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES KC (PAFLUFOCON D HEM-IBERFILCON A) HYBRID CONTACT LENS FOR KERATOCONUS,SYNERGEYES,2005-11-30,K052675,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2005,"Lens, Contact (Other Material) - Daily"
