main_keyword,patent_id,patent_title,patent_date,patent_abstract,assignee_organization,assignee_country,cpc_group_id,year,cpc_group_title
soft contact lens,11320673,Soft contact lens comprising a lenticular in a superior portion of the contact lens with enhanced tear exchange,2022-05-03,"Disclosed herein is a soft contact lens comprising a lenticular in a superior portion of the contact lens wherein the contact lens attaches to an upper eyelid of a wearer by the lenticular interacting with an upper tarsal plate of the upper eyelid of a wearer, wherein the contact lens is configured to provide one or more of an enhanced tear exchange, a greater tear layer thickness, or increased oxygen uptake of a cornea of a wearer.",Ohio State Innovation Foundation,US,G02C7/043,2022,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -bifocal; multifocal-Translating type
soft contact lens,11209670,Method for designing edge to edge photochromic soft contact lenses,2021-12-28,"The disclosure is related to a new soft contact lens with edge to edge photochromic material where geometry of the optical region and the peripheral region of the lens are optimized to give the best cosmetic effect on eye. The vision correction component and the mechanical component of that soft contact lens are designed independently from each other. The design of each component, vision and mechanical, is achieved by the mean of using diffractive optics.","Johnson & Johnson Vision Care, Inc.",US,G02C7/049,2021,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lenses having special fitting or structural features achieved by special materials or material structures
soft contact lens,11119338,Soft contact lens and method for suppressing attachment of soft contact lens onto cornea,2021-09-14,"A soft contact lens has low water content or no water content. The soft contact lens includes: a circular central part positioned at a center of the soft contact lens; an intermediate part positioned at an outer peripheral side of the central part and forming an annular shape having a center coaxial with the central part; and an outer edge part positioned at an outer peripheral side of the intermediate part and forming an annular shape having a center coaxial with the central part. Respective radii of curvature of the central part, the intermediate part, and the outer edge part are different from each other, and a sagittal depth of the soft contact lens is within a range of a sagittal depth in a case where the entire soft contact lens is formed in a range of a radius of curvature ±0.2 mm of the outer edge part.","Toray Industries, Inc.",JP,G02C7/04,2021,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes 
soft contact lens,11061169,Contact lens with phosphorylcholine-modified polyvinylalcohols therein,2021-07-13,"The invention is generally related to a soft contact lens which comprises a hydrogel lens body and a coating thereon and to a method for producing the same. The hydrogel lens body is composed of a crosslinked polymeric material comprising repeating units of at least one arylborono-containing vinylic monomer having a boronic acid group, and the coating comprises a layer of a phosphorylcholine-containing polymer which comprises (a) repeating units of vinyl alcohol, and (b) repeating units of 6-membered acetal ring substituted with a phosphorylcholine-containing group. The coating is covalently-attached to the hydrogel lens body through cyclic boronic ester linkages each formed between one of the boronic acid groups of the crosslinked polymeric material and one of the 1,2-diol and 1,3-diol moieties of the phosphorylcholine-containing polymer.",Alcon Inc.,CH,G02B1/043,2021,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,10962803,Contact lenses with a lubricious coating thereon,2021-03-30,"The invention is generally related to a soft contact lens which comprises a hydrogel lens body and a coating of a hydrophilic copolymer thereon and to a method for producing the same. The hydrogel lens body comprises or is made of a polymeric material having 1,2- and/or 1,3-diol moieties, and the hydrophilic copolymer comprises arylborono-containing repeating units each having a boronic acid group. The coating is covalently-attached to the hydrogel lens body through cyclic boronic ester linkages each formed between one boronic acid group and one 1,2-diol or 1,3-diol group. The soft contact lens has a surface lubricity higher than the surface lubricity of the lens body.",Alcon Inc.,CH,C08J7/0427,2021,Chemical treatment or coating of shaped articles made of macromolecular substances -Coating-with only one layer of a composition containing a polymer binder 
soft contact lens,10859465,Method and apparatus for the measurement of the refraction index of a hydrogel contact lens,2020-12-08,The invention is generally directed to an apparatus and a method for measuring a refractive index of a soft contact lens under a consistent pressure.,Alcon Inc.,CH,G01M11/0214,2020,Testing of optical apparatus; Testing structures by optical methods not otherwise provided for-Testing optical properties-Details of measuring devices-Details of devices holding the object to be tested
soft contact lens,10830666,Contact lens inspection method and system,2020-11-10,"A method for determining the inversion state of a soft contact lens (1), comprising imaging a soft contact lens having a convex surface (2, 3) and a concave surface (3, 2), a lens center and a lens edge (5) surrounding said soft contact lens (1), the method comprising using an optical coherence tomography system to obtain at least one sectional image of at least a part of the contact lens (1) comprising the lens edge (5), determining a cross-sectional edge geometry of the contact lens (1) extending from the lens edge (5) towards the lens center of the contact lens in the sectional image, the cross-sectional edge geometry corresponding to the convex and concave surface boundaries of the contact lens (1) in the sectional image, selecting a parameter defining the cross-sectional edge geometry of the contact lens (1) imaged and comparing the parameter defining the cross-sectional edge geometry of the contact lens (1) with a predetermined parameter defining a cross-sectional edge geometry of a non-inverted contact lens to determine whether said contact lens (1) is inverted.",Alcon Inc.,CH,G01M11/0271,2020,Testing of optical apparatus; Testing structures by optical methods not otherwise provided for-Testing optical properties-by measuring geometrical properties or aberrations-by using interferometric methods
soft contact lens,10823636,Method and apparatus for the determination of the index of refraction of lens material,2020-11-03,"Method for determining the refractive index (n) of a material of a contact lens, in particular of a soft contact lens, the contact lens (1) having a first surface and a second surface defining a lens geometry there between, by measuring the wavefront issued by the contact lens (1) with a wavefront sensor (4), obtaining data of the geometry of at least one section of the contact lens (1) with an optical coherence tomography system (3) and communicating the geometry of the at least one section of the contact lens (1) from the optical coherence tomography system (3) to an analyzer, particularly a computer, and determining the refractive index (n) of the material of the contact lens from the geometry of the at least one section of the contact lens and from the wavefront issued by the contact lens (1).",Alcon Inc.,CH,G01M11/0228,2020,Testing of optical apparatus; Testing structures by optical methods not otherwise provided for-Testing optical properties-by measuring refractive power
soft contact lens,10624981,Method and system for removing a liquid from a container for accommodating an ophthalmic lens,2020-04-21,"A method of removing a liquid from a container (1) for accommodating an ophthalmic contact lens, in particular a soft contact lens, during transporting the container (1) from a liquid bath (13) to a subsequent processing station (14), the method including the steps of:",Alcon Inc.,CH,A61L12/086,2020,"Methods or apparatus for disinfecting or sterilising contact lenses; Accessories therefor-using chemical substances-Container, accessories or devices therefor"
soft contact lens,10618233,Hydrogel contact lenses with lubricious coating thereon,2020-04-14,"The invention is generally related to soft contact lenses which comprise a non-silicone hydrogel lens body and a hydrogel coating thereon. The non-silicone hydrogel lens body is composed of a hydrogel material which is free of silicone and comprises at least 50% by mole of repeating units of at least one hydroxyl-containing vinylic monomer. The hydrogel coating comprises a first polymeric material having first reactive functional groups and a hydrogel layer derived from a second polymeric material having second reactive functional groups, and the hydrogel layer is covalently attached onto the anchor layer through linkages each formed between one first reactive functional group and one second reactive functional group. The soft contact lens has a surface lubricity better than the lubricity of the non-silicone hydrogel lens body and has a friction rating of about 2 or lower after 7 cycles of manual rubbing, a water content of from about 10% to about 85% by weight and an elastic modulus of from about 0.2 MPa to about 1.5 MPa when being fully hydrated at room temperature.",Alcon Inc.,CH,B29D11/00067,2020,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-Hydrating contact lenses"
soft contact lens,10598825,Soft silicone medical devices with durable lubricious coatings thereon,2020-03-24,"The invention is related to a medical device comprising a core material made of a crosslinked silicone material and a hydrogel coating which is thermodynamically stable. The invention is also related to a method for producing such a medical device, especially a soft contact lens.",Alcon Inc.,CH,G02B1/043,2020,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,10379383,Manufacturing process of an accommodating soft contact lens,2019-08-13,"An accommodating contact lens module is provided for use with an accommodating contact lens. Components of the accommodating contact lens module can be manufactured and assembled with low distortion optics to provide improved vision. The module comprises a self-supporting module capable of being grasped by one of the components and placed in a mold without distorting the optical components of the module when placed. The module is compatible with soft contact lens materials, and compatible with soft contact lens manufacturing processes such as molding of hydrogels and silicones. The module may comprise one or more of many components that can be placed in the mold together. These components can be placed in the mold for encapsulation in order to provide accurate optical correction of the eye of the subject, for both far vision and near vision. In many embodiments, the module is inspected prior to placement in the mold.","OneFocus Technology, LLC",US,G02C7/085,2019,"Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Auxiliary lenses; Arrangements for varying focal length-Ophthalmic lenses with variable focal length-Fluid-filled lenses, e.g. electro-wetting lenses"
soft contact lens,10328644,Method for introducing an active compound into a soft hydrated contact lens,2019-06-25,"A method for introducing an active compound into a soft hydrated contact lens comprising the steps of: providing a hypotonic aqueous solution having an osmolarity value less than 150 mOsm and an effective quantity of that active compound, immersing the soft contact lens in the aqueous hypotonic solution, subjecting the contact lens immersed in the aqueous hypotonic solution to mechanical vibrations having a power greater than 100 mW for a predetermined time.",SAFILENS S.R.L.,IT,B29D11/00096,2019,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-for delivering compositions, e.g. drugs to the eye"
soft contact lens,10246819,Compositions and methods for reversibly dyeing soft contact lenses and medical examination therefrom,2019-04-02,"A composition, method and kit for producing reversibly dyed soft contact lenses is disclosed. The contact lenses are submerged in saline solution and a dye is added to the saline solution, either directly or by means of a strip that has been impregnated with the dye. After a period of time, the lens absorbs the dye and can be removed from the solution and placed on the eye. Once the lens is illuminated with ultraviolet light, it will glow or fluoresce. An eye having the soft contact lens applied to a cornea thereof is examined under a luminescent radiation stored in the soft contact lens. The dyeing method does not utilize heat and thus is reversible. Soaking the lens in additional saline solution for a period of time will cause the dye to return to its non-dyed state. A stabilizing compound and a method of stabilization are also disclosed herein.",,,D06P1/0012,2019,"General processes of dyeing or printing textiles, or general processes of dyeing leather, furs, or solid macromolecular substances in any form, classified according to the dyes, pigments, or auxiliary substances employed-General aspects of dyeing-Effecting dyeing to obtain luminescent or phosphorescent dyeings"
soft contact lens,10245075,Nondestructive means of ectopic pregnancy management,2019-04-02,"In a nondestructive means of ectopic pregnancy management, a baby is delivered with the gestational sac intact and then submerged in an incubator containing ventilating fluid; the baby is placed in an absorbable transfer capsule and transcervically transferred to the uterine cavity; the capsule dissolves after a period of time to leave the gestational sac abutted to the endometrium so the baby can reattach. To maintain the baby's life support, the means includes fluidic ventilators and ventilation catheters to perfuse the gestational sac with ventilating fluid during such times as delivery, incubation, transfer, and reimplantation. Advantageously, the transfer capsule protects the baby during transfer and serves as a convenient vehicle for placing devices such as the ventilation catheter in the uterus along with the baby. An exemplary transfer capsule is flexible like a soft contact lens; hydrates with a solution containing nutrients and factors to promote the biomechanical interactions of implantation; and, being based on a hyaluronan hydrogel, dissolves in the uterine cavity to provide the baby and mother with hyaluronan which is known to benefit implantation. Hard shell absorbable transfer capsules are also provided for when structural support is needed.",,,A61B17/435,2019,"Surgical instruments, devices or methods -Gynaecological or obstetrical instruments or methods -for reproduction or fertilisation-for embryo ; or ova;  transplantation"
soft contact lens,10241234,Silicone hydrogel soft contact lens having wettable surface,2019-03-26,"Provided is a silicone hydrogel soft contact lens obtained by curing in a double-sided casting mold, a liquid mixture including glycerol mono(meth)acrylate and at least one type of silicone monomer having at least one hydroxyl group or polyethylene glycol group in the molecular structure thereof, the silicone hydrogel soft contact lens having a wettable surface without a polymerized lens-shaped material being subjected to post-processing to improve the water wetting properties of a surface thereof.",HOYA CORPORATION,JP,G02B1/043,2019,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
soft contact lens,9968254,Intraocular pressure monitoring device,2018-05-15,"An intraocular pressure monitoring device has a soft contact lens and a pressure sensor united with the contact lens, the pressure sensor comprising an active strain gage, a passive gage, a rigid element and a microprocessor. The active strain gage, passive gage and rigid element are placed at a distance from the center of the contact lens, the active strain gage comprising a portion encircling the center of the contact lens on at least 180°, wherein the passive gage and the rigid element each comprise a portion encircling the center of the contact lens on at least 180°, and wherein the portion of the passive gage situated around the center of the contact lens is placed in immediate vicinity of the portion of the rigid element situated around the center of the contact lens. A kit has such a pressure monitoring device and a portable recording device configured for communicating with the pressure monitoring device and for storing data received from it. An intraocular pressure monitoring system has such a kit and a computing device configured for communicating with the portable recording device for receiving and/or processing and/or storing data received from the portable recording device.",Sensimed SA,CH,A61B3/16,2018,"Apparatus for testing the eyes; Instruments for examining the eyes -Objective types, i.e. instruments for examining the eyes independent of the patients' perceptions or reactions-for measuring intraocular pressure, e.g. tonometers"
soft contact lens,9849028,Contact lens applicator,2017-12-26,"A contact lens applicator for use in the application and removal of contact lenses, is disclosed. The contact lens applicator comprises a hollow cylindrical tube defining a curved portion at one end having a straight portion attached to a suction bulb at the distal end. The end tip surface of the curved portion defines a generally solid concave-shaped cup surface having a center hole surrounded by an outer edge circular ring of smaller diameter holes for allowing air to pass in and out of the cylindrical tube through the cup surface. The diameter of the cylindrical tube and cup surface are slightly greater than the diameter of a contact lens. In use, the contact lens applicator temporarily grasps using air pressure a soft contact lens for applying the soft contact lens to a user's eye and for removing a soft contact lens therefrom without discomfort to the user or damage to the lens.",,,A61F9/0061,2017,"Methods or devices for treatment of the eyes; Devices for putting in contact-lenses; Devices to correct squinting; Apparatus to guide the blind; Protective devices for the eyes, carried on the body or in the hand -Devices for putting-in contact lenses"
soft contact lens,9512385,Disinfectant solution for nonionic soft contact lenses,2016-12-06,"A disinfecting solution for a nonionic soft contact lens, which solution contains polylysine as a disinfectant, and further contains: 0.1-1.0% by weight of a component (A) which is an acidic tonicity agent having at least one carboxyl group; 0.10-1.25% by weight of a component (B) which is a basic tonicity agent having an amino group; and 0.1-2.0% by weight of a component (C) which is at least one of a nonionic tonicity agent and an amphoteric tonicity agent, wherein each of the components (A) to (C) has a molecular weight of not larger than 200, and a ratio of a molar concentration of the component (A) to a molar concentration of the component (B) is not larger than 1.2. The disinfecting solution has a pH of 6.5-8.0, an osmotic pressure of 250-330 mOsm/kg and an electric conductivity of 130-750 mS/m.","MENICON CO., LTD.",US,C11D3/0078,2016,"Other compounding ingredients of detergent compositions covered in group C11D1/00-Other compounding ingredients characterised by their effect-Compositions for cleaning contact lenses, spectacles or lenses"
soft contact lens,9454020,Method for designing contact lenses with semi-customized back surface,2016-09-27,The present invention is directed to a method for designing a soft contact lens with semi-customized back surface including determining axial radius topography data for a plurality of eyes of a specific population; calculating an apical radius and a conic constant distribution from the axial radius data; determining apical radius and conic constant values for an individual subject; selecting a subset of base curves from a base curve library based on the individual subject's apical radius and conic constant values; and selecting a final base curve from the subset of base curves that fits the individual subject's needs based on one or more selection criteria.,"Johnson & Johnson Vision Care, Inc.",US,G02C7/027,2016,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Methods of designing ophthalmic lenses-considering wearer's parameters
soft contact lens,RE46044,Soft contact lens,2016-06-28,"A soft contact lens for fitting to a cornea includes a lens main body made of a light permeable member. The lens main body has a diameter larger than that of a light-shielding portion which shields incident light incident to the cornea. The light-shielding portion includes a main body constituting a light-shielding member, an aperture that allows incident light to be transmitted, the aperture being positioned on a position of the main body of the light-shielding portion, and multiple holes that maintain a scotopic vision and a night vision, the holes being provided around the aperture in the main body of the light-shielding portion and each of the holes having a diameter smaller than that of the aperture.","Universal View Co., Ltd.",JP,,2016,
soft contact lens,9358735,Method of treating a lens forming surface of at least one mold half of a mold for molding ophthalmic lenses,2016-06-07,"A method of treating of a lens forming surface (2) of at least one mold half (1) of a mold for molding an ophthalmic lens, in particular of the lens forming surface of a glass mold half for molding a contact lens, especially a soft contact lens, includes the steps of:",NOVARTIS AG,CH,B29D11/00038,2016,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses"
soft contact lens,9271677,Intraocular pressure measuring and/or monitoring device,2016-03-01,"Intraocular pressure measuring and/or monitoring device comprising a soft contact lens and a pressure sensor united with the soft contact lens, the pressure sensor being located such that it is applied against an eye of a user for sensing the intraocular pressure (IOP) of the eye when the soft contact lens is worn by the user, wherein the soft contact lens is softer than a surface of the eye and is configured to adapt its shape to the shape of the eye under the effect of capillary force maintaining the contact lens on the eye when the user is wearing the contact lens.",Sensimed SA,CH,A61B5/6821,2016,"Measuring for diagnostic purposes ; Identification of persons-Arrangements of detecting, measuring or recording means, e.g. sensors, in relation to patient-specially adapted to be attached to or worn on the body surface-Specially adapted to be attached to a specific body part -Head-Eye"
soft contact lens,9192298,Contact lens for intraocular pressure measurement,2015-11-24,A monitoring apparatus for the eye has a soft contact lens formed of a transparent substrate having an inner surface that faces the eye and an outer surface. A first arcuate pattern of resistive traces is formed onto the outer surface of the lens substrate and centered about the center of the lens. A second arcuate pattern of resistive traces is formed onto the inner surface of the lens substrate and centered about the center of the lens. One or more conductive traces connects the first pattern to the second pattern. A signal monitor is in signal communication with the first and second arcuate patterns of resistive traces and provides a signal indicative of the lens shape according to electrical current through the first and second arcuate patterns of resistive traces.,Syntec Optics,US,A61B3/16,2015,"Apparatus for testing the eyes; Instruments for examining the eyes -Objective types, i.e. instruments for examining the eyes independent of the patients' perceptions or reactions-for measuring intraocular pressure, e.g. tonometers"
soft contact lens,9164296,"Soft contact lens application method, liquid for contact lenses and soft contact lens package",2015-10-20,"An object of the invention is to provide an application method capable of facilitating the application of the soft contact lens without using any instrument, a liquid for contact lenses capable of being used for the application method, and a soft contact lens package. The present invention is a method for applying a soft contact lens, including a shrinkage step of shrinking a soft contact lens by contacting the soft contact lens with a liquid for contact lenses, the liquid for contact lenses being capable of shrinking the soft contact lens to a state of being more intensively shrunken than an equilibrium state thereof in a physiological saline; and an application step of applying the shrunken soft contact lens to the eye, in which after the application step, the size of the soft contact lens is restored.","MENICON CO., LTD.",JP,G02C7/047,2015,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lens fitting; Contact lenses for orthokeratology; Contact lenses for specially shaped corneae
soft contact lens,9119450,Contact lens package,2015-09-01,"A plastic container for storing a hydrogel contact lens in a liquid, the container comprising: a cavity and a substantially flat flange that extends in a plane around the opening periphery of the cavity, and the flange having a sealing area round the circumference of the cavity. Furthermore, the sealing area has a micro-texture pattern. When sealing the container with a flexible cover sheet which is a laminate material having a metal foil layer and at least one polymer layer to form a storage package of the soft contact lens, the micro-texture pattern of the sealing area engages a laminate foil cover and displaces water beads present between the laminate foil cover and the plastic container in the sealing area around the cavity to form a heat seal.",NOVARTIS AG,CH,A45C11/005,2015,Receptacles for purposes not provided for in groups A45C1/00-A45C9/00 -Contact lens cases 
soft contact lens,8974053,Contact lens having peripheral high modulus zones,2015-03-10,Soft contact lens having regions of a material forming one or more higher modulus of elasticity zones in the peripheral region of the lenses add stiffness to the contact lenses. This increased stiffness in different zones or regions enable the contact lens to be more easily handled and make it less likely to fold in on itself.,"Johnson & Johnson Vision Care, Inc.",US,G02C7/049,2015,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lenses having special fitting or structural features achieved by special materials or material structures
soft contact lens,8939906,"Wireless intraocular pressure monitoring device, and detecting module thereof",2015-01-27,"A wireless intraocular pressure monitoring device includes reflecting and detecting modules. The reflecting module includes a soft contact lens having a curvature corresponding to that of a cornea while worn. A metal layer is embedded in and deformable with the soft contact lens. The detecting module includes two waveguides, an oscillator, and a converting unit. The oscillator is operable to generate oscillation signals having a frequency dependent on an equivalent impedance of the waveguides such that the equivalent impedance corresponds to intraocular pressure. The converting unit is operable for receiving and converting the oscillation signals into an output signal corresponding to the intraocular pressure.",NATIONAL TSING HUA UNIVERSITY,TW,A61B3/16,2015,"Apparatus for testing the eyes; Instruments for examining the eyes -Objective types, i.e. instruments for examining the eyes independent of the patients' perceptions or reactions-for measuring intraocular pressure, e.g. tonometers"
soft contact lens,8864307,Soft contact lenses for treating ametropia,2014-10-21,"A soft contact lens for treating ametropia having an optical zone, a pressure control zone, an alignment zone, and a peripheral zone.","Global-OK Vision, Inc.",TW,G02C7/047,2014,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lens fitting; Contact lenses for orthokeratology; Contact lenses for specially shaped corneae
soft contact lens,8801067,Gripper for grasping an ophthalmic lens immersed in a liquid,2014-08-12,"A gripper for grasping an ophthalmic lens immersed in a liquid, for example a contact lens or soft contact lens, the gripper including a housing having an opening arranged at the distal end of the housing, the opening being in communication with an interior space defined by the housing and being sized to allow the ophthalmic lens to pass therethrough; a supply channel to generate suction in the interior space of the housing to allow the ophthalmic lens together with an amount of the liquid in which the ophthalmic lens is immersed to be sucked through the opening into the interior space of the housing; and a supply channel for generating overpressure in the interior space of the housing so as to allow the ophthalmic lens together with the amount of liquid to be released from the interior space through the opening at the distal end of the housing.",NOVARTIS AG,CH,B29D11/0024,2014,"Producing optical elements, e.g. lenses or prisms -Production of simple or compound lenses-Production of contact lenses-Auxiliary operations, e.g. removing oxygen from the mould, conveying moulds from a storage to the production line in an inert atmosphere-Transferring contact lenses-using a vacuum suction gripper"
soft contact lens,8662663,"Hybrid soft contact lens, and production method and hydration treatment method thereof",2014-03-04,"The present invention provides a hybrid soft contact lens including a central portion formed with a first hydrous soft material, and a peripheral portion formed with a second hydrous soft material, in which the first hydrous soft material is obtained by curing a first curable composition including a silicone-containing monomer. Preferably, the first hydrous soft material has a Young's modulus of no less than 3.0 MPa and no greater than 100 MPa, and the second hydrous soft material has a Young's modulus of no less than 0.20 MPa and less than 3.0 MPa.","MENICON CO., LTD.",JP,G02B1/043,2014,"Optical elements characterised by the material of which they are made; Optical coatings for optical elements-made of organic materials, e.g. plastics -Lenses-Contact lenses"
